TradeId,ProductType,Maturity,Strike,NPV,Vega,MC_StdErr,PricingTime_s
VAN_6M_60,Vanilla,6M,60.0,0.018395796890515976,0.6461962758895906,0.0,3.7399000120785786e-05
VAN_6M_70,Vanilla,6M,70.0,0.10802647907341666,2.8609366793865694,0.0,3.001000095537165e-06
VAN_6M_80,Vanilla,6M,80.0,0.5057057686574955,9.155405692611085,0.0,2.1340001694625244e-06
VAN_6M_90,Vanilla,6M,90.0,1.8470336692938791,20.00351025098612,0.0,1.8719997569860425e-06
VAN_6M_100,Vanilla,6M,100.0,6.175893293548759,28.0410097794217,0.0,1.842999608925311e-06
VAN_6M_110,Vanilla,6M,110.0,2.2862602019622904,24.25179694061308,0.0,1.8619998627400491e-06
VAN_6M_120,Vanilla,6M,120.0,0.6359363445351777,13.105022262330124,0.0,1.7600000319362152e-06
VAN_6M_130,Vanilla,6M,130.0,0.1379424924286719,4.752520391758358,0.0,1.7920001482707448e-06
VAN_6M_140,Vanilla,6M,140.0,0.025119798916880317,1.2874668091358703,0.0,1.722999968478689e-06
VAN_1Y_60,Vanilla,1Y,60.0,0.22805178779311364,4.924329419490864,0.0,2.083999788737856e-06
VAN_1Y_70,Vanilla,1Y,70.0,0.6249362419200528,10.856653476359224,0.0,1.7570000636624172e-06
VAN_1Y_80,Vanilla,1Y,80.0,1.5571249709083514,20.323828235631947,0.0,1.6909998521441594e-06
VAN_1Y_90,Vanilla,1Y,90.0,3.499416076028843,31.468799743942455,0.0,1.7240004126506392e-06
VAN_1Y_100,Vanilla,1Y,100.0,8.995875431864075,39.10414309969923,0.0,1.770999915606808e-06
VAN_1Y_110,Vanilla,1Y,110.0,4.6457241229903925,38.20196483418492,0.0,1.7689999367576092e-06
VAN_1Y_120,Vanilla,1Y,120.0,2.110572451135182,29.443538154255045,0.0,1.7280003703490365e-06
VAN_1Y_130,Vanilla,1Y,130.0,0.864457213614065,18.498502053083232,0.0,1.725999936752487e-06
VAN_1Y_140,Vanilla,1Y,140.0,0.3314920537850228,9.978909613756636,0.0,1.8400000953988638e-06
VAN_2Y_60,Vanilla,2Y,60.0,1.1359768376844692,16.20852823232566,0.0,1.8730002011579927e-06
VAN_2Y_70,Vanilla,2Y,70.0,2.0408912248904096,25.082224920859986,0.0,1.7680004020803608e-06
VAN_2Y_80,Vanilla,2Y,80.0,3.534482070004837,35.74933317362871,0.0,1.725999936752487e-06
VAN_2Y_90,Vanilla,2Y,90.0,5.892307906215562,46.44020736976362,0.0,1.7039997146639507e-06
VAN_2Y_100,Vanilla,2Y,100.0,13.332775280220254,54.23971251230064,0.0,3.5069997466052882e-06
VAN_2Y_110,Vanilla,2Y,110.0,8.604183570830292,56.344234686307004,0.0,1.7359998309984803e-06
VAN_2Y_120,Vanilla,2Y,120.0,5.2553536186726895,52.017429601577625,0.0,1.8219998310087249e-06
VAN_2Y_130,Vanilla,2Y,130.0,3.085709897220509,43.23884240594333,0.0,1.711000095383497e-06
VAN_2Y_140,Vanilla,2Y,140.0,1.7768314909442366,33.13564853709505,0.0,1.770999915606808e-06
BAR_Up_120_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.11017139800014775
BAR_Up_130_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.11562820400013152
BAR_Do_80_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.11468680000007225
ASIAN_ATM_1Y,Asian,1Y,100.0,8.912821041273181,0.0,0.0,0.11410601099987616
FWDSTART_6M_18M,ForwardStart,6M,100.0,11.159009873495492,0.0,0.0,0.16205719499976112
